0.00462,0.602,0.881,0.0266,0.111,-5.875,0,0.0443,125.012,0.577,P
0.159,0.536,0.526,0.847,0.128,-9.754,1,0.181,167.608,0.434,P
0.000296,0.547,0.827,0.101,0.0858,-6.036,1,0.0468,119.089,0.451,C
0.108,0.373,0.609,0.000427,0.0755,-7.0,1,0.0316,179.955,0.354,P
0.0158,0.424,0.615,0.000389,0.0844,-6.217,0,0.0325,77.935,0.155,F
0.974,0.547,0.208,0.973,0.104,-17.949,0,0.0369,119.474,0.347,P
0.0115,0.64,0.74,0.00678,0.167,-4.083,1,0.0284,116.879,0.785,P
0.211,0.371,0.778,0.00141,0.181,-7.196,0,0.0559,145.734,0.288,C
0.078,0.661,0.869,0.924,0.398,-5.477,1,0.0334,126.971,0.8,S
0.108,0.547,0.695,0.00301,0.14,-4.969,1,0.0337,144.684,0.641,P
0.154,0.536,0.915,0.000788,0.372,-4.993,1,0.0581,115.037,0.472,C
0.0055,0.502,0.699,0,0.171,-5.528,1,0.0333,111.024,0.354,T
0.272,0.47,0.809,0.00671,0.0491,-6.74,1,0.0495,151.836,0.49,P
0.032,0.445,0.708,0.0908,0.171,-6.268,1,0.0293,141.965,0.414,W
0.00423,0.439,0.842,0.00103,0.126,-5.31,1,0.0354,94.641,0.281,W
0.0103,0.34,0.812,0.626,0.263,-5.783,0,0.0299,219.446,0.724,T
0.148,0.316,0.509,0,0.63,-7.411,1,0.0309,174.152,0.17,W
0.0899,0.346,0.524,2.5e-06,0.31,-5.697,1,0.028,169.605,0.445,W
0.141,0.316,0.628,0.000621,0.0852,-7.639,1,0.0354,177.131,0.267,W
0.084,0.454,0.762,0.000715,0.136,-5.762,1,0.0298,108.944,0.19,W
0.164,0.321,0.776,0.0603,0.0872,-7.309,1,0.0321,74.786,0.2,W
0.725,0.247,0.521,0.0494,0.0938,-7.664,1,0.0334,102.276,0.176,B
0.0123,0.331,7.16e-05,0.454,0.109,-7.31,1,0.0416,128.014,0.05,Y
0.0186,0.277,0.929,0.00235,0.654,-3.694,1,0.12,184.008,0.315,N
0.171,0.792,0.45,0.0018,0.123,-5.864,1,0.0882,77.003,0.785,N
0.592,0.683,0.436,0,0.167,-6.296,1,0.0781,72.983,0.602,N
